"Passenger, Freight and Commercial Flights by Year, Airports in Ireland,",,,,,
"Country, Direction, Flight Type and Statistic",,,,,
,,,,,
,,,,,
,,,,,Passengers (Thousand)
2005,Cork,Ireland (domestic),Departure,Scheduled,116.6
,,Austria,Departure,Scheduled,0
,,Belgium,Departure,Scheduled,0.8
,,Bulgaria,Departure,Scheduled,0.1
,,Cyprus,Departure,Scheduled,0
,,Czech Republic,Departure,Scheduled,22.2
,,Denmark,Departure,Scheduled,0
,,Estonia,Departure,Scheduled,0
,,Finland,Departure,Scheduled,0
,,France,Departure,Scheduled,54.4
,,Germany,Departure,Scheduled,11.3
,,Greece,Departure,Scheduled,0
,,Hungary,Departure,Scheduled,7.3
,,Italy,Departure,Scheduled,9.7
,,Latvia,Departure,Scheduled,0
,,Lithuania,Departure,Scheduled,0
,,Luxembourg,Departure,Scheduled,0
,,Malta,Departure,Scheduled,0
,,Netherlands,Departure,Scheduled,60
,,Poland,Departure,Scheduled,3.1
,,Portugal,Departure,Scheduled,11.1
,,Romania,Departure,Scheduled,0
,,Slovakia,Departure,Scheduled,0
,,Slovenia,Departure,Scheduled,0
,,Spain,Departure,Scheduled,61.6
,,Sweden,Departure,Scheduled,0
,,England,Departure,Scheduled,731.1
,,Northern Ireland,Departure,Scheduled,20.2
,,Scotland,Departure,Scheduled,25
,,Wales,Departure,Scheduled,14.5
,,Other UK (1),Departure,Scheduled,0
,,Croatia,Departure,Scheduled,0
,,Iceland,Departure,Scheduled,0
,,Norway,Departure,Scheduled,0
,,Russian Federation,Departure,Scheduled,0
,,Serbia,Departure,Scheduled,0
,,Switzerland,Departure,Scheduled,0
,,Other Europe (12),Departure,Scheduled,0
,,Canada,Departure,Scheduled,0
,,United States,Departure,Scheduled,0
,,Other America (5),Departure,Scheduled,0
,,Canary Islands,Departure,Scheduled,0.3
,,Eygpt,Departure,Scheduled,0
,,Morocco,Departure,Scheduled,0
,,Tunisia,Departure,Scheduled,0
,,Other Africa (6),Departure,Scheduled,0
,,Bahrain,Departure,Scheduled,0
,,Israel,Departure,Scheduled,0
,,Turkey,Departure,Scheduled,0
,,United Arab Emirates,Departure,Scheduled,0
,,Other Asian countries (4),Departure,Scheduled,0
,,Oceania and Polar regions (1),Departure,Scheduled,0
,Dublin,Ireland (domestic),Departure,Scheduled,483
,,Austria,Departure,Scheduled,50.2
,,Belgium,Departure,Scheduled,177.6
,,Bulgaria,Departure,Scheduled,0
,,Cyprus,Departure,Scheduled,15.5
,,Czech Republic,Departure,Scheduled,103
,,Denmark,Departure,Scheduled,96.6
,,Estonia,Departure,Scheduled,11.4
,,Finland,Departure,Scheduled,14
,,France,Departure,Scheduled,530.2
,,Germany,Departure,Scheduled,482.3
,,Greece,Departure,Scheduled,3.4
,,Hungary,Departure,Scheduled,70.5
,,Italy,Departure,Scheduled,312
,,Latvia,Departure,Scheduled,27
,,Lithuania,Departure,Scheduled,44.8
,,Luxembourg,Departure,Scheduled,0
,,Malta,Departure,Scheduled,9.9
,,Netherlands,Departure,Scheduled,299.5
,,Poland,Departure,Scheduled,69.7
,,Portugal,Departure,Scheduled,74.6
,,Romania,Departure,Scheduled,0
,,Slovakia,Departure,Scheduled,2.8
,,Slovenia,Departure,Scheduled,2.8
,,Spain,Departure,Scheduled,534.3
,,Sweden,Departure,Scheduled,35.9
,,England,Departure,Scheduled,3602.5
,,Northern Ireland,Departure,Scheduled,14.1
,,Scotland,Departure,Scheduled,421.4
,,Wales,Departure,Scheduled,60.6
,,Other UK (1),Departure,Scheduled,30.9
,,Croatia,Departure,Scheduled,12.8
,,Iceland,Departure,Scheduled,0
,,Norway,Departure,Scheduled,21
,,Russian Federation,Departure,Scheduled,0
,,Serbia,Departure,Scheduled,0
,,Switzerland,Departure,Scheduled,83.8
,,Other Europe (12),Departure,Scheduled,0
,,Canada,Departure,Scheduled,0.3
,,United States,Departure,Scheduled,485.8
,,Other America (5),Departure,Scheduled,0
,,Canary Islands,Departure,Scheduled,22.5
,,Eygpt,Departure,Scheduled,0.1
,,Morocco,Departure,Scheduled,0
,,Tunisia,Departure,Scheduled,0
,,Other Africa (6),Departure,Scheduled,0.3
,,Bahrain,Departure,Scheduled,1.9
,,Israel,Departure,Scheduled,0
,,Turkey,Departure,Scheduled,0.2
,,United Arab Emirates,Departure,Scheduled,0
,,Other Asian countries (4),Departure,Scheduled,0
,,Oceania and Polar regions (1),Departure,Scheduled,0.8
,Galway,Ireland (domestic),Departure,Scheduled,49.4
,,Austria,Departure,Scheduled,0
,,Belgium,Departure,Scheduled,0
,,Bulgaria,Departure,Scheduled,0
,,Cyprus,Departure,Scheduled,0
,,Czech Republic,Departure,Scheduled,0
,,Denmark,Departure,Scheduled,0
,,Estonia,Departure,Scheduled,0
,,Finland,Departure,Scheduled,0
,,France,Departure,Scheduled,3.3
,,Germany,Departure,Scheduled,0
,,Greece,Departure,Scheduled,0
,,Hungary,Departure,Scheduled,0
,,Italy,Departure,Scheduled,0
,,Latvia,Departure,Scheduled,0
,,Lithuania,Departure,Scheduled,0
,,Luxembourg,Departure,Scheduled,0
,,Malta,Departure,Scheduled,0
,,Netherlands,Departure,Scheduled,0
,,Poland,Departure,Scheduled,0
,,Portugal,Departure,Scheduled,0
,,Romania,Departure,Scheduled,0
,,Slovakia,Departure,Scheduled,0
,,Slovenia,Departure,Scheduled,0
,,Spain,Departure,Scheduled,1.6
,,Sweden,Departure,Scheduled,0
,,England,Departure,Scheduled,58.1
,,Northern Ireland,Departure,Scheduled,0
,,Scotland,Departure,Scheduled,14.5
,,Wales,Departure,Scheduled,0
,,Other UK (1),Departure,Scheduled,0.1
,,Croatia,Departure,Scheduled,0
,,Iceland,Departure,Scheduled,0
,,Norway,Departure,Scheduled,0
,,Russian Federation,Departure,Scheduled,0
,,Serbia,Departure,Scheduled,0
,,Switzerland,Departure,Scheduled,0
,,Other Europe (12),Departure,Scheduled,0
,,Canada,Departure,Scheduled,0
,,United States,Departure,Scheduled,0
