Year,Dep. Airport,Destination,Destination_Region,Passengers (Thousand)
2005,Cork,Bulgaria,Eastern Europe,0.1
2005,Cork,Canary Islands,Africa,0.3
2005,Cork,Belgium,Western Europe,0.8
2005,Cork,Poland,Eastern Europe,3.1
2005,Cork,Hungary,Eastern Europe,7.3
2005,Cork,Italy,Southern Europe,9.7
2005,Cork,Portugal,Southern Europe,11.1
2005,Cork,Germany,Western Europe,11.3
2005,Cork,Wales,UK,14.5
2005,Cork,Northern Ireland,Northern Europe,20.2
2005,Cork,Czech Republic,Eastern Europe,22.2
2005,Cork,Scotland,UK,25
2005,Cork,France,Western Europe,54.4
2005,Cork,Netherlands,Western Europe,60
2005,Cork,Spain,Southern Europe,61.6
2005,Cork,Ireland (domestic),Ireland (domestic),116.6
2005,Cork,England,UK,731.1
2005,Dublin,Eygpt,Africa,0.1
2005,Dublin,Turkey,Asia,0.2
2005,Dublin,Canada,Americas,0.3
2005,Dublin,Other Africa (6),Africa,0.3
2005,Dublin,Oceania and Polar regions (1),Oceania and Polar,0.8
2005,Dublin,Bahrain,Asia,1.9
2005,Dublin,Slovakia,Eastern Europe,2.8
2005,Dublin,Slovenia,Southern Europe,2.8
2005,Dublin,Greece,Southern Europe,3.4
2005,Dublin,Malta,Southern Europe,9.9
2005,Dublin,Estonia,Northern Europe,11.4
2005,Dublin,Croatia,Southern Europe,12.8
2005,Dublin,Finland,Northern Europe,14
2005,Dublin,Northern Ireland,Northern Europe,14.1
2005,Dublin,Cyprus,Southern Europe,15.5
2005,Dublin,Norway,Northern Europe,21
2005,Dublin,Canary Islands,Africa,22.5
2005,Dublin,Latvia,Northern Europe,27
2005,Dublin,Other UK (1),UK,30.9
2005,Dublin,Sweden,Northern Europe,35.9
2005,Dublin,Lithuania,Northern Europe,44.8
2005,Dublin,Austria,Western Europe,50.2
2005,Dublin,Wales,UK,60.6
2005,Dublin,Poland,Eastern Europe,69.7
2005,Dublin,Hungary,Eastern Europe,70.5
2005,Dublin,Portugal,Southern Europe,74.6
2005,Dublin,Switzerland,Western Europe,83.8
2005,Dublin,Denmark,Northern Europe,96.6
2005,Dublin,Czech Republic,Eastern Europe,103
2005,Dublin,Belgium,Western Europe,177.6
2005,Dublin,Netherlands,Western Europe,299.5
2005,Dublin,Italy,Southern Europe,312
2005,Dublin,Scotland,UK,421.4
2005,Dublin,Germany,Western Europe,482.3
2005,Dublin,Ireland (domestic),Ireland (domestic),483
2005,Dublin,United States,Americas,485.8
2005,Dublin,France,Western Europe,530.2
2005,Dublin,Spain,Southern Europe,534.3
2005,Dublin,England,UK,3602.5
2005,Galway,Other UK (1),UK,0.1
2005,Galway,Spain,Southern Europe,1.6
2005,Galway,France,Western Europe,3.3
2005,Galway,Scotland,UK,14.5
2005,Galway,Ireland (domestic),Ireland (domestic),49.4
2005,Galway,England,UK,58.1
2005,Kerry,Scotland,UK,0.1
2005,Kerry,France,Western Europe,0.4
